make,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,fuel-system,engine-size,num-of-cylinders,engine-type,curb-weight,height,width,length,wheel-base,engine-location,drive-wheels,body-style,num-of-doors,aspiration,fuel-type,normalized-losses,symboling,price
alfa-romero,27,21,5000,111,9,2.68,3.47,mpfi,130,4,dohc,2548,48.8,64.1,168.8,88.6,front,rwd,convertible,2,std,gas,,3,13495
alfa-romero,27,21,5000,111,9,2.68,3.47,mpfi,130,4,dohc,2548,48.8,64.1,168.8,88.6,front,rwd,convertible,2,std,gas,,3,16500
alfa-romero,26,19,5000,154,9,3.47,2.68,mpfi,152,6,ohcv,2823,52.4,65.5,171.2,94.5,front,rwd,hatchback,2,std,gas,,1,16500
audi,30,24,5500,102,10,3.4,3.19,mpfi,109,4,ohc,2337,54.3,66.2,176.6,99.8,front,fwd,sedan,4,std,gas,164,2,13950
audi,22,18,5500,115,8,3.4,3.19,mpfi,136,5,ohc,2824,54.3,66.4,176.6,99.4,front,4wd,sedan,4,std,gas,164,2,17450
audi,25,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2507,53.1,66.3,177.3,99.8,front,fwd,sedan,2,std,gas,,2,15250
audi,25,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2844,55.7,71.4,192.7,105.8,front,fwd,sedan,4,std,gas,158,1,17710
audi,25,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2954,55.7,71.4,192.7,105.8,front,fwd,wagon,4,std,gas,,1,18920
audi,20,17,5500,140,8.3,3.4,3.13,mpfi,131,5,ohc,3086,55.9,71.4,192.7,105.8,front,fwd,sedan,4,turbo,gas,158,1,23875
audi,22,16,5500,160,7,3.4,3.13,mpfi,131,5,ohc,3053,52,67.9,178.2,99.5,front,4wd,hatchback,2,turbo,gas,,0,
bmw,29,23,5800,101,8.8,2.8,3.5,mpfi,108,4,ohc,2395,54.3,64.8,176.8,101.2,front,rwd,sedan,2,std,gas,192,2,16430
bmw,29,23,5800,101,8.8,2.8,3.5,mpfi,108,4,ohc,2395,54.3,64.8,176.8,101.2,front,rwd,sedan,4,std,gas,192,0,16925
bmw,28,21,4250,121,9,3.19,3.31,mpfi,164,6,ohc,2710,54.3,64.8,176.8,101.2,front,rwd,sedan,2,std,gas,188,0,20970
bmw,28,21,4250,121,9,3.19,3.31,mpfi,164,6,ohc,2765,54.3,64.8,176.8,101.2,front,rwd,sedan,4,std,gas,188,0,21105
bmw,25,20,4250,121,9,3.19,3.31,mpfi,164,6,ohc,3055,55.7,66.9,189,103.5,front,rwd,sedan,4,std,gas,,1,24565
bmw,22,16,5400,182,8,3.39,3.62,mpfi,209,6,ohc,3230,55.7,66.9,189,103.5,front,rwd,sedan,4,std,gas,,0,30760
bmw,22,16,5400,182,8,3.39,3.62,mpfi,209,6,ohc,3380,53.7,67.9,193.8,103.5,front,rwd,sedan,2,std,gas,,0,41315
bmw,20,15,5400,182,8,3.39,3.62,mpfi,209,6,ohc,3505,56.3,70.9,197,110,front,rwd,sedan,4,std,gas,,0,36880
chevrolet,53,47,5100,48,9.5,3.03,2.91,2bbl,61,3,l,1488,53.2,60.3,141.1,88.4,front,fwd,hatchback,2,std,gas,121,2,5151
chevrolet,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1874,52,63.6,155.9,94.5,front,fwd,hatchback,2,std,gas,98,1,6295
chevrolet,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1909,52,63.6,158.8,94.5,front,fwd,sedan,4,std,gas,81,0,6575
dodge,41,37,5500,68,9.41,3.23,2.97,2bbl,90,4,ohc,1876,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,118,1,5572
dodge,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1876,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,118,1,6377
